Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Cade Tyson,29,160,24,21,4,6,1,3,10,11,4,2,1,1,0,2,2
Jaylen Crocker-Johnson,27,114,31,15,3,12,1,5,6,6,6,10,2,2,0,1,0
Isaac Asuma,25,108,22,9,4,6,0,2,1,1,1,3,5,3,2,2,2
Chansey Willis,24,129,20,13,4,5,1,1,2,2,0,2,4,3,1,3,3
Robert Vaihola,23,181,17,12,3,3,0,0,6,8,4,9,3,0,0,0,2
Langston Reynolds,25,158,16,12,5,8,0,0,2,3,1,1,3,0,0,0,0
Bobby Durkin,22,126,13,8,1,2,2,5,0,0,0,3,1,1,0,0,1
Kai Shinholster,12,136,19,5,0,0,0,0,5,6,1,0,1,1,0,1,3
Nehemiah Turner,11,47,5,0,0,2,0,0,0,0,1,0,0,0,1,1,1
RJ Spencer,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,200,,95,,24,44,5,16,32,37,19,31,20,12,4,10,14
