Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Cade Tyson,37,134,27,24,7,10,3,5,1,1,2,5,5,3,0,1,1
Bobby Durkin,35,123,18,11,0,2,3,4,2,2,3,2,3,3,0,1,2
Isaac Asuma,33,130,25,15,3,4,2,7,3,4,0,2,6,1,2,3,3
Langston Reynolds,27,144,14,12,6,7,0,0,0,0,1,2,1,1,0,0,3
Jaylen Crocker-Johnson,19,127,31,14,3,4,2,4,2,2,0,1,3,2,1,1,4
Kai Shinholster,23,93,10,0,0,3,0,0,0,0,1,3,3,0,0,3,1
Grayson Grove,20,130,7,0,0,0,0,0,0,0,0,5,4,1,2,4,2
Maximus Gizzi,3,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Nehemiah Turner,3,,2,,1,2,0,0,0,0,0,1,1,0,0,0,0
TOTAL,200,,78,,20,32,10,20,8,9,7,21,26,11,5,14,17
