Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Isaac Asuma,35,121,18,14,2,3,2,6,4,4,1,2,3,2,0,2,1
Jaylen Crocker-Johnson,33,105,22,15,2,5,2,5,5,7,1,6,1,2,1,0,2
Cade Tyson,30,133,27,22,3,5,3,8,7,8,1,5,1,1,0,0,3
Chansey Willis,30,66,22,5,2,3,0,2,1,2,1,4,5,5,0,6,1
Robert Vaihola,22,147,11,4,1,3,0,0,2,2,4,4,1,0,0,0,0
Langston Reynolds,29,113,17,6,2,5,0,2,2,4,2,1,6,0,0,1,1
Bobby Durkin,13,13,20,0,0,0,0,5,0,0,0,1,1,1,0,0,0
Grayson Grove,5,,,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Kai Shinholster,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,200,,66,,12,24,7,28,21,27,14,27,18,11,1,9,8
