Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Cade Tyson,28,159,28,30,4,4,4,8,10,12,1,2,2,1,0,1,2
Chansey Willis,26,35,13,0,0,5,0,2,0,0,0,2,3,1,0,0,2
Jaylen Crocker-Johnson,25,131,23,13,3,4,0,3,7,10,4,10,0,0,2,0,4
Isaac Asuma,22,122,22,8,4,4,0,1,0,0,1,2,7,3,1,1,3
Robert Vaihola,20,69,19,4,2,2,0,0,0,1,2,4,2,4,2,4,1
Langston Reynolds,26,110,25,14,6,8,0,0,2,5,2,7,4,3,0,1,5
Bobby Durkin,22,122,16,7,0,0,2,5,1,2,0,0,4,1,0,1,2
Kai Shinholster,15,113,16,7,2,3,1,2,0,0,0,0,1,1,1,0,2
Grayson Grove,8,,2,,1,1,0,0,0,0,1,0,1,0,0,0,2
Nehemiah Turner,7,,2,,1,2,0,0,0,0,0,3,1,0,1,1,0
RJ Spencer,1,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0
TOTAL,200,,87,,23,34,7,21,20,30,12,33,25,14,7,9,23
