Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Cade Tyson,36,102,26,17,6,8,0,4,5,7,0,2,2,3,0,0,4
Jaylen Crocker-Johnson,35,88,18,6,3,7,0,2,0,0,6,6,2,2,0,1,3
Isaac Asuma,34,134,16,13,1,2,3,9,2,2,0,0,2,0,0,1,3
Chansey Willis,31,108,17,9,3,5,1,3,0,2,1,3,3,1,0,1,2
Robert Vaihola,24,80,9,1,0,1,0,0,1,2,3,3,1,1,0,0,3
Langston Reynolds,18,73,29,7,3,6,0,0,1,4,1,2,0,2,0,0,0
Bobby Durkin,14,108,19,5,1,1,1,5,0,0,0,3,1,0,0,0,2
Grayson Grove,6,,,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Kai Shinholster,2,,2,,1,1,0,0,0,0,0,0,0,0,0,0,0
TOTAL,200,,60,,18,31,5,23,9,17,14,20,11,11,0,3,18
