Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Cade Tyson,39,104,25,15,4,7,0,4,7,7,2,2,4,2,0,1,2
Bobby Durkin,34,52,15,5,2,3,0,5,1,1,0,5,0,1,0,1,0
Langston Reynolds,33,96,19,11,3,7,1,2,2,3,0,4,2,1,0,1,3
Jaylen Crocker-Johnson,31,104,25,17,2,4,4,9,1,2,0,2,2,1,0,0,4
Isaac Asuma,29,76,24,5,1,5,1,3,0,1,3,2,5,2,0,0,5
Kai Shinholster,18,60,12,2,1,3,0,1,0,0,0,1,1,0,0,0,0
Grayson Grove,12,60,17,2,1,1,0,1,0,1,0,0,1,1,1,0,5
Maximus Gizzi,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nehemiah Turner,1,,0,,0,1,0,0,0,0,0,1,0,0,0,0,1
RJ Spencer,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,200,,57,,14,31,6,25,11,15,5,18,15,9,1,3,20
