Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Cade Tyson,37,142,32,38,3,7,8,12,8,11,5,6,3,2,0,4,1
Bobby Durkin,34,134,14,12,3,4,1,3,3,4,1,2,3,1,0,4,1
Langston Reynolds,33,100,19,3,0,1,0,2,3,4,1,6,10,4,0,1,2
Jaylen Crocker-Johnson,32,130,17,14,2,4,2,4,4,5,1,6,2,1,1,1,0
Isaac Asuma,26,148,20,13,2,3,3,6,0,0,1,5,6,1,0,1,4
Kai Shinholster,21,85,12,3,0,0,1,4,0,0,0,0,2,1,0,0,2
Grayson Grove,12,113,19,6,3,4,0,1,0,1,0,0,1,0,0,1,4
Maximus Gizzi,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nehemiah Turner,2,,0,,0,0,0,1,0,0,0,1,0,0,0,0,0
RJ Spencer,1,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0
TOTAL,200,,89,,13,23,15,34,18,25,10,28,27,11,1,12,14
